[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/omnetpp.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 560, READ INSTS: 56, LAST WRITE DURATION: 232, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.41379
READ DURATION: 723, READ INSTS: 78, LAST WRITE DURATION: 356, LAST WRITE INSTS: 24, R/W DURATION RATIO: 2.0309
READ DURATION: 659, READ INSTS: 65, LAST WRITE DURATION: 376, LAST WRITE INSTS: 37, R/W DURATION RATIO: 1.75266
READ DURATION: 360, READ INSTS: 31, LAST WRITE DURATION: 241, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49378
READ DURATION: 488, READ INSTS: 46, LAST WRITE DURATION: 307, LAST WRITE INSTS: 23, R/W DURATION RATIO: 1.58958
READ DURATION: 1802, READ INSTS: 41, LAST WRITE DURATION: 354, LAST WRITE INSTS: 37, R/W DURATION RATIO: 5.0904
READ DURATION: 470, READ INSTS: 41, LAST WRITE DURATION: 281, LAST WRITE INSTS: 18, R/W DURATION RATIO: 1.6726
READ DURATION: 678, READ INSTS: 67, LAST WRITE DURATION: 262, LAST WRITE INSTS: 32, R/W DURATION RATIO: 2.58779
READ DURATION: 640, READ INSTS: 59, LAST WRITE DURATION: 184, LAST WRITE INSTS: 20, R/W DURATION RATIO: 3.47826
READ DURATION: 386, READ INSTS: 35, LAST WRITE DURATION: 330, LAST WRITE INSTS: 40, R/W DURATION RATIO: 1.1697
WAITED CYCLES: 38
READ DURATION: 978, READ INSTS: 102, LAST WRITE DURATION: 336, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.91071
READ DURATION: 471, READ INSTS: 46, LAST WRITE DURATION: 339, LAST WRITE INSTS: 50, R/W DURATION RATIO: 1.38938
READ DURATION: 603, READ INSTS: 62, LAST WRITE DURATION: 252, LAST WRITE INSTS: 35, R/W DURATION RATIO: 2.39286
READ DURATION: 486, READ INSTS: 47, LAST WRITE DURATION: 285, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.70526
READ DURATION: 589, READ INSTS: 55, LAST WRITE DURATION: 333, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.76877
READ DURATION: 482, READ INSTS: 42, LAST WRITE DURATION: 218, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.21101
READ DURATION: 950, READ INSTS: 104, LAST WRITE DURATION: 245, LAST WRITE INSTS: 32, R/W DURATION RATIO: 3.87755
READ DURATION: 568, READ INSTS: 56, LAST WRITE DURATION: 457, LAST WRITE INSTS: 58, R/W DURATION RATIO: 1.24289
WAITED CYCLES: 19
READ DURATION: 460, READ INSTS: 40, LAST WRITE DURATION: 1641, LAST WRITE INSTS: 21, R/W DURATION RATIO: 0.391156
WAITED CYCLES: 587
