[Ramulator::ReadWriteTrace] [info] Loading trace file /home/fann/projects/cache_simulator/sampled_trace/520_sampled.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 577, LAST WRITE DURATION: 486, R/W DURATION RATIO: 1.18724
READ DURATION: 662, LAST WRITE DURATION: 395, R/W DURATION RATIO: 1.67595
READ DURATION: 1115, LAST WRITE DURATION: 427, R/W DURATION RATIO: 2.61124
READ DURATION: 685, LAST WRITE DURATION: 552, R/W DURATION RATIO: 1.24094
READ DURATION: 1042, LAST WRITE DURATION: 382, R/W DURATION RATIO: 2.72775
READ DURATION: 882, LAST WRITE DURATION: 556, R/W DURATION RATIO: 1.58633
READ DURATION: 699, LAST WRITE DURATION: 381, R/W DURATION RATIO: 1.83465
READ DURATION: 1345, LAST WRITE DURATION: 1794, R/W DURATION RATIO: 0.749721
READ DURATION: 630, LAST WRITE DURATION: 533, R/W DURATION RATIO: 1.18199
READ DURATION: 710, LAST WRITE DURATION: 379, R/W DURATION RATIO: 1.87335
READ DURATION: 894, LAST WRITE DURATION: 402, R/W DURATION RATIO: 2.22388
READ DURATION: 615, LAST WRITE DURATION: 348, R/W DURATION RATIO: 1.76724
READ DURATION: 641, LAST WRITE DURATION: 421, R/W DURATION RATIO: 1.52257
READ DURATION: 997, LAST WRITE DURATION: 392, R/W DURATION RATIO: 2.54337
READ DURATION: 852, LAST WRITE DURATION: 419, R/W DURATION RATIO: 2.03341
READ DURATION: 1168, LAST WRITE DURATION: 541, R/W DURATION RATIO: 2.15896
READ DURATION: 681, LAST WRITE DURATION: 1386, R/W DURATION RATIO: 0.491342
READ DURATION: 818, LAST WRITE DURATION: 479, R/W DURATION RATIO: 1.70772
READ DURATION: 687, LAST WRITE DURATION: 392, R/W DURATION RATIO: 1.75255
READ DURATION: 886, LAST WRITE DURATION: 369, R/W DURATION RATIO: 2.40108
READ DURATION: 806, LAST WRITE DURATION: 534, R/W DURATION RATIO: 1.50936
READ DURATION: 801, LAST WRITE DURATION: 351, R/W DURATION RATIO: 2.28205
READ DURATION: 1269, LAST WRITE DURATION: 401, R/W DURATION RATIO: 3.16459
READ DURATION: 773, LAST WRITE DURATION: 473, R/W DURATION RATIO: 1.63425
READ DURATION: 2016, LAST WRITE DURATION: 417, R/W DURATION RATIO: 4.83453
READ DURATION: 581, LAST WRITE DURATION: 382, R/W DURATION RATIO: 1.52094
READ DURATION: 663, LAST WRITE DURATION: 389, R/W DURATION RATIO: 1.70437
READ DURATION: 743, LAST WRITE DURATION: 398, R/W DURATION RATIO: 1.86683
READ DURATION: 724, LAST WRITE DURATION: 366, R/W DURATION RATIO: 1.97814
READ DURATION: 545, LAST WRITE DURATION: 331, R/W DURATION RATIO: 1.64653
READ DURATION: 773, LAST WRITE DURATION: 389, R/W DURATION RATIO: 1.98715
READ DURATION: 715, LAST WRITE DURATION: 366, R/W DURATION RATIO: 1.95355
READ DURATION: 614, LAST WRITE DURATION: 372, R/W DURATION RATIO: 1.65054
READ DURATION: 1168, LAST WRITE DURATION: 422, R/W DURATION RATIO: 2.76777
READ DURATION: 2260, LAST WRITE DURATION: 416, R/W DURATION RATIO: 5.43269
READ DURATION: 574, LAST WRITE DURATION: 461, R/W DURATION RATIO: 1.24512
READ DURATION: 654, LAST WRITE DURATION: 322, R/W DURATION RATIO: 2.03106
READ DURATION: 888, LAST WRITE DURATION: 412, R/W DURATION RATIO: 2.15534
READ DURATION: 777, LAST WRITE DURATION: 489, R/W DURATION RATIO: 1.58896
READ DURATION: 716, LAST WRITE DURATION: 381, R/W DURATION RATIO: 1.87927
READ DURATION: 719, LAST WRITE DURATION: 405, R/W DURATION RATIO: 1.77531
READ DURATION: 705, LAST WRITE DURATION: 348, R/W DURATION RATIO: 2.02586
READ DURATION: 752, LAST WRITE DURATION: 378, R/W DURATION RATIO: 1.98942
READ DURATION: 1416, LAST WRITE DURATION: 564, R/W DURATION RATIO: 2.51064
READ DURATION: 1213, LAST WRITE DURATION: 1885, R/W DURATION RATIO: 0.643501
READ DURATION: 829, LAST WRITE DURATION: 422, R/W DURATION RATIO: 1.96445
READ DURATION: 751, LAST WRITE DURATION: 362, R/W DURATION RATIO: 2.07459
READ DURATION: 1098, LAST WRITE DURATION: 356, R/W DURATION RATIO: 3.08427
READ DURATION: 529, LAST WRITE DURATION: 643, R/W DURATION RATIO: 0.822706
READ DURATION: 896, LAST WRITE DURATION: 418, R/W DURATION RATIO: 2.14354
READ DURATION: 682, LAST WRITE DURATION: 423, R/W DURATION RATIO: 1.61229
READ DURATION: 810, LAST WRITE DURATION: 385, R/W DURATION RATIO: 2.1039
READ DURATION: 2560, LAST WRITE DURATION: 348, R/W DURATION RATIO: 7.35632
READ DURATION: 353, LAST WRITE DURATION: 304, R/W DURATION RATIO: 1.16118
READ DURATION: 134, LAST WRITE DURATION: 92, R/W DURATION RATIO: 1.45652
READ DURATION: 588, LAST WRITE DURATION: 444, R/W DURATION RATIO: 1.32432
READ DURATION: 803, LAST WRITE DURATION: 411, R/W DURATION RATIO: 1.95377
READ DURATION: 1142, LAST WRITE DURATION: 414, R/W DURATION RATIO: 2.75845
READ DURATION: 469, LAST WRITE DURATION: 310, R/W DURATION RATIO: 1.5129
READ DURATION: 712, LAST WRITE DURATION: 388, R/W DURATION RATIO: 1.83505
READ DURATION: 594, LAST WRITE DURATION: 358, R/W DURATION RATIO: 1.65922
READ DURATION: 687, LAST WRITE DURATION: 306, R/W DURATION RATIO: 2.2451
READ DURATION: 661, LAST WRITE DURATION: 418, R/W DURATION RATIO: 1.58134
READ DURATION: 937, LAST WRITE DURATION: 1880, R/W DURATION RATIO: 0.498404
READ DURATION: 581, LAST WRITE DURATION: 378, R/W DURATION RATIO: 1.53704
READ DURATION: 532, LAST WRITE DURATION: 383, R/W DURATION RATIO: 1.38903
READ DURATION: 573, LAST WRITE DURATION: 358, R/W DURATION RATIO: 1.60056
READ DURATION: 974, LAST WRITE DURATION: 412, R/W DURATION RATIO: 2.36408
READ DURATION: 763, LAST WRITE DURATION: 452, R/W DURATION RATIO: 1.68805
READ DURATION: 757, LAST WRITE DURATION: 392, R/W DURATION RATIO: 1.93112
READ DURATION: 625, LAST WRITE DURATION: 349, R/W DURATION RATIO: 1.79083
READ DURATION: 845, LAST WRITE DURATION: 376, R/W DURATION RATIO: 2.24734
READ DURATION: 665, LAST WRITE DURATION: 368, R/W DURATION RATIO: 1.80707
READ DURATION: 681, LAST WRITE DURATION: 1889, R/W DURATION RATIO: 0.360508
READ DURATION: 760, LAST WRITE DURATION: 396, R/W DURATION RATIO: 1.91919
READ DURATION: 827, LAST WRITE DURATION: 448, R/W DURATION RATIO: 1.84598
READ DURATION: 885, LAST WRITE DURATION: 360, R/W DURATION RATIO: 2.45833
READ DURATION: 701, LAST WRITE DURATION: 604, R/W DURATION RATIO: 1.1606
READ DURATION: 606, LAST WRITE DURATION: 501, R/W DURATION RATIO: 1.20958
READ DURATION: 751, LAST WRITE DURATION: 360, R/W DURATION RATIO: 2.08611
READ DURATION: 1226, LAST WRITE DURATION: 444, R/W DURATION RATIO: 2.76126
READ DURATION: 784, LAST WRITE DURATION: 462, R/W DURATION RATIO: 1.69697
READ DURATION: 718, LAST WRITE DURATION: 1667, R/W DURATION RATIO: 0.430714
READ DURATION: 767, LAST WRITE DURATION: 383, R/W DURATION RATIO: 2.00261
READ DURATION: 783, LAST WRITE DURATION: 386, R/W DURATION RATIO: 2.0285
READ DURATION: 642, LAST WRITE DURATION: 391, R/W DURATION RATIO: 1.64194
READ DURATION: 659, LAST WRITE DURATION: 395, R/W DURATION RATIO: 1.66835
READ DURATION: 657, LAST WRITE DURATION: 367, R/W DURATION RATIO: 1.79019
READ DURATION: 649, LAST WRITE DURATION: 294, R/W DURATION RATIO: 2.20748
READ DURATION: 906, LAST WRITE DURATION: 377, R/W DURATION RATIO: 2.40318
READ DURATION: 732, LAST WRITE DURATION: 520, R/W DURATION RATIO: 1.40769
READ DURATION: 2065, LAST WRITE DURATION: 380, R/W DURATION RATIO: 5.43421
READ DURATION: 637, LAST WRITE DURATION: 538, R/W DURATION RATIO: 1.18401
READ DURATION: 640, LAST WRITE DURATION: 420, R/W DURATION RATIO: 1.52381
READ DURATION: 692, LAST WRITE DURATION: 315, R/W DURATION RATIO: 2.19683
READ DURATION: 784, LAST WRITE DURATION: 368, R/W DURATION RATIO: 2.13043
READ DURATION: 610, LAST WRITE DURATION: 417, R/W DURATION RATIO: 1.46283
READ DURATION: 686, LAST WRITE DURATION: 404, R/W DURATION RATIO: 1.69802
READ DURATION: 763, LAST WRITE DURATION: 335, R/W DURATION RATIO: 2.27761
READ DURATION: 734, LAST WRITE DURATION: 461, R/W DURATION RATIO: 1.59219
READ DURATION: 715, LAST WRITE DURATION: 349, R/W DURATION RATIO: 2.04871
READ DURATION: 2443, LAST WRITE DURATION: 385, R/W DURATION RATIO: 6.34545
READ DURATION: 844, LAST WRITE DURATION: 496, R/W DURATION RATIO: 1.70161
READ DURATION: 750, LAST WRITE DURATION: 529, R/W DURATION RATIO: 1.41777
READ DURATION: 641, LAST WRITE DURATION: 387, R/W DURATION RATIO: 1.65633
READ DURATION: 1279, LAST WRITE DURATION: 387, R/W DURATION RATIO: 3.30491
READ DURATION: 626, LAST WRITE DURATION: 470, R/W DURATION RATIO: 1.33191
READ DURATION: 807, LAST WRITE DURATION: 381, R/W DURATION RATIO: 2.11811
READ DURATION: 670, LAST WRITE DURATION: 372, R/W DURATION RATIO: 1.80108
READ DURATION: 601, LAST WRITE DURATION: 362, R/W DURATION RATIO: 1.66022
READ DURATION: 880, LAST WRITE DURATION: 424, R/W DURATION RATIO: 2.07547
READ DURATION: 1399, LAST WRITE DURATION: 1656, R/W DURATION RATIO: 0.844807
READ DURATION: 499, LAST WRITE DURATION: 360, R/W DURATION RATIO: 1.38611
READ DURATION: 782, LAST WRITE DURATION: 411, R/W DURATION RATIO: 1.90268
READ DURATION: 785, LAST WRITE DURATION: 350, R/W DURATION RATIO: 2.24286
READ DURATION: 693, LAST WRITE DURATION: 483, R/W DURATION RATIO: 1.43478
READ DURATION: 567, LAST WRITE DURATION: 423, R/W DURATION RATIO: 1.34043
READ DURATION: 632, LAST WRITE DURATION: 364, R/W DURATION RATIO: 1.73626
READ DURATION: 775, LAST WRITE DURATION: 420, R/W DURATION RATIO: 1.84524
READ DURATION: 587, LAST WRITE DURATION: 373, R/W DURATION RATIO: 1.57373
READ DURATION: 2026, LAST WRITE DURATION: 404, R/W DURATION RATIO: 5.01485
READ DURATION: 719, LAST WRITE DURATION: 420, R/W DURATION RATIO: 1.7119
READ DURATION: 768, LAST WRITE DURATION: 504, R/W DURATION RATIO: 1.52381
READ DURATION: 1065, LAST WRITE DURATION: 375, R/W DURATION RATIO: 2.84
READ DURATION: 625, LAST WRITE DURATION: 679, R/W DURATION RATIO: 0.920471
READ DURATION: 781, LAST WRITE DURATION: 373, R/W DURATION RATIO: 2.09383
READ DURATION: 1159, LAST WRITE DURATION: 333, R/W DURATION RATIO: 3.48048
READ DURATION: 692, LAST WRITE DURATION: 500, R/W DURATION RATIO: 1.384
READ DURATION: 950, LAST WRITE DURATION: 536, R/W DURATION RATIO: 1.77239
READ DURATION: 683, LAST WRITE DURATION: 2060, R/W DURATION RATIO: 0.331553
READ DURATION: 732, LAST WRITE DURATION: 408, R/W DURATION RATIO: 1.79412
READ DURATION: 922, LAST WRITE DURATION: 458, R/W DURATION RATIO: 2.0131
READ DURATION: 782, LAST WRITE DURATION: 538, R/W DURATION RATIO: 1.45353
READ DURATION: 1446, LAST WRITE DURATION: 330, R/W DURATION RATIO: 4.38182
