[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/cactuBSSN.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 1618, READ INSTS: 180, LAST WRITE DURATION: 287, LAST WRITE INSTS: 24, R/W DURATION RATIO: 5.63763
READ DURATION: 358, READ INSTS: 25, LAST WRITE DURATION: 311, LAST WRITE INSTS: 23, R/W DURATION RATIO: 1.15113
READ DURATION: 302, READ INSTS: 23, LAST WRITE DURATION: 321, LAST WRITE INSTS: 32, R/W DURATION RATIO: 0.94081
READ DURATION: 362, READ INSTS: 40, LAST WRITE DURATION: 271, LAST WRITE INSTS: 36, R/W DURATION RATIO: 1.33579
READ DURATION: 194, READ INSTS: 20, LAST WRITE DURATION: 346, LAST WRITE INSTS: 36, R/W DURATION RATIO: 0.560694
WAITED CYCLES: 75
READ DURATION: 213, READ INSTS: 21, LAST WRITE DURATION: 278, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.766187
WAITED CYCLES: 3
READ DURATION: 258, READ INSTS: 26, LAST WRITE DURATION: 307, LAST WRITE INSTS: 25, R/W DURATION RATIO: 0.840391
READ DURATION: 242, READ INSTS: 25, LAST WRITE DURATION: 218, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.11009
READ DURATION: 265, READ INSTS: 21, LAST WRITE DURATION: 234, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.13248
READ DURATION: 205, READ INSTS: 21, LAST WRITE DURATION: 274, LAST WRITE INSTS: 32, R/W DURATION RATIO: 0.748175
WAITED CYCLES: 8
READ DURATION: 211, READ INSTS: 22, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.787313
READ DURATION: 243, READ INSTS: 24, LAST WRITE DURATION: 304, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.799342
READ DURATION: 259, READ INSTS: 28, LAST WRITE DURATION: 190, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.36316
READ DURATION: 268, READ INSTS: 28, LAST WRITE DURATION: 254, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.05512
READ DURATION: 230, READ INSTS: 23, LAST WRITE DURATION: 220, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.04545
READ DURATION: 124, READ INSTS: 16, LAST WRITE DURATION: 267, LAST WRITE INSTS: 26, R/W DURATION RATIO: 0.464419
WAITED CYCLES: 83
READ DURATION: 277, READ INSTS: 22, LAST WRITE DURATION: 1772, LAST WRITE INSTS: 20, R/W DURATION RATIO: 0.247321
READ DURATION: 376, READ INSTS: 28, LAST WRITE DURATION: 136, LAST WRITE INSTS: 19, R/W DURATION RATIO: 2.76471
READ DURATION: 398, READ INSTS: 46, LAST WRITE DURATION: 254, LAST WRITE INSTS: 42, R/W DURATION RATIO: 1.56693
READ DURATION: 431, READ INSTS: 48, LAST WRITE DURATION: 288, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.49653
READ DURATION: 439, READ INSTS: 50, LAST WRITE DURATION: 269, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.63197
READ DURATION: 447, READ INSTS: 49, LAST WRITE DURATION: 224, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.99554
READ DURATION: 442, READ INSTS: 50, LAST WRITE DURATION: 214, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.06542
READ DURATION: 434, READ INSTS: 50, LAST WRITE DURATION: 298, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.45638
