[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/fotonik3d.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 210, READ INSTS: 22, LAST WRITE DURATION: 294, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.714286
WAITED CYCLES: 18
READ DURATION: 240, READ INSTS: 25, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.10092
READ DURATION: 224, READ INSTS: 23, LAST WRITE DURATION: 279, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.802867
READ DURATION: 224, READ INSTS: 24, LAST WRITE DURATION: 246, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.910569
READ DURATION: 248, READ INSTS: 27, LAST WRITE DURATION: 252, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.984127
READ DURATION: 224, READ INSTS: 23, LAST WRITE DURATION: 218, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.02752
READ DURATION: 226, READ INSTS: 23, LAST WRITE DURATION: 236, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.957627
READ DURATION: 224, READ INSTS: 23, LAST WRITE DURATION: 268, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.835821
READ DURATION: 218, READ INSTS: 22, LAST WRITE DURATION: 258, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.844961
READ DURATION: 220, READ INSTS: 23, LAST WRITE DURATION: 263, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.836502
READ DURATION: 208, READ INSTS: 22, LAST WRITE DURATION: 255, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.815686
READ DURATION: 218, READ INSTS: 23, LAST WRITE DURATION: 266, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.819549
READ DURATION: 217, READ INSTS: 22, LAST WRITE DURATION: 248, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.875
READ DURATION: 212, READ INSTS: 21, LAST WRITE DURATION: 270, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.785185
READ DURATION: 197, READ INSTS: 21, LAST WRITE DURATION: 265, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.743396
WAITED CYCLES: 9
